destination,origin,people,male,female,longdest,latdest,long,lat,longoff,latoff
Ukraine,Russia,5018098,2150244,2867854,30.5,50.4,37.6,55.7,0,0
India,Bangladesh,4375155,2324893,2050262,77.2,28.6,90.26,23.43,0,0
USA,Mexico,4298014,2315850,1982164,-77,38.9,-99.1,19.24,0,0
Iran,Afghanistan,3980307,2209668,1770639,51.3,35.4,69.1,34.3,0,0
Pakistan,Afghanistan,3374973,1723293,1651680,73.1,33.4,69.1,34.3,0,0
Russia,Ukraine,3301922,1620293,1681629,37.6,55.7,30.5,50.4,0,0
Pakistan,India,2818248,1532902,1285346,73.1,33.4,77.2,28.6,0,0
Kazakhstan,Russia,2474111,1122461,1351650,71.4,51.1,37.6,55.7,0,0
Russia,Kazakhstan,2349697,1153024,1196673,37.6,55.7,71.4,51.1,0,0
India,Pakistan,1921278,1024721,896557,77.2,28.6,73.1,33.4,0,0
Germany,Turkey,1459167,795579,663588,13.3,52.3,32.54,39.57,0,0
Uzbekistan,Russia,1267201,548390,718811,69.2,41.2,37.6,55.7,0,0
USA,Puerto Rico,1180383,565005,615378,-77,38.9,-66.1,18.3,0,0
Australia,United Kingdom,1111203,561186,550017,149.1,-35.3,-0.1,51.4,0,0
Sudan,Ethiopia,942295,463796,478499,32.4,15.3,38.4,9,0,0
Russia,Azerbaijan,936852,459725,477127,37.6,55.7,49.52,40.24,0,0
Cote d'Ivoire,Burkina Faso,927756,522444,405312,-5.2,6.5,-1.55,12.2,0,0
USA,Philippines,912674,352063,560611,-77,38.9,121,14.4,0,0
Saudi Arabia,India,906468,612071,294397,46.6,24.7,77.2,28.6,-40,0
Russia,Uzbekistan,890893,437172,453721,37.6,55.7,69.2,41.2,0,0
Jordan,State of Palestine,851880,403331,448549,36.025,29.33,35.2,32.03,0,0
Russia,Belarus,809353,397159,412194,37.6,55.7,27.5,53.9,0,0
Belarus,Russia,791522,349598,441924,27.5,53.9,37.6,55.7,0,0
France,Algeria,788914,446449,342465,2.2,48.5,3.1,36.4,0,0
France,Portugal,781382,405398,375984,2.2,48.5,-9.1,38.4,0,0
USA,China,773939,378564,395375,-77,38.9,116.4,39.9,0,0
USA,Canada,744830,245893,498937,-77,38.9,-75.4,45.3,0,0
USA,Cuba,736971,351002,385969,-77,38.9,-82.2,23.1,0,0
France,Morocco,713987,392571,321416,2.2,48.5,-6.5,34,0,0
USA,Germany,711929,348233,363696,-77,38.9,13.3,52.3,0,0
Canada,United Kingdom,688691,335273,353418,-75.4,45.3,-0.1,51.4,0,10
Japan,South Korea,687832,343142,344690,139.7,35.7,126.6,37.3,0,0
Russia,Georgia,656888,322343,334545,37.6,55.7,44.5,41.4,0,0
USA,United Kingdom,640145,313120,327025,-77,38.9,-0.1,51.4,0,0
Saudi Arabia,Indonesia,635007,422395,212612,46.6,24.7,106.5,-6.1,-40,0
Ethiopia,Somalia,616940,324269,292671,38.4,9,45.3,2,0,0
United Kingdom,Ireland,611877,280892,330985,-0.1,51.4,-6.15,53.21,-40,0
USA,Italy,580592,255422,325170,-77,38.9,12.3,41.5,0,0
USA,South Korea,568397,278026,290371,-77,38.9,126.6,37.3,0,0
Saudi Arabia,Pakistan,556715,383365,173350,46.6,24.7,73.1,33.4,-40,0
Venezuela,Colombia,555578,259738,295840,-66.6,6.4,-74.3,4.6,0,0
USA,Viet Nam,543262,279380,263882,-77,38.9,105.6,21.1,0,0
Russia,Armenia,535266,262661,272605,37.6,55.7,44.3,40.1,0,0
France,Italy,521793,258913,262880,2.2,48.5,12.3,41.5,0,0
India,Nepal,518212,223552,294660,77.2,28.6,85.2,27.45,0,0
